instant_hour,dteday,season_hour,yr_hour,mnth_hour,hr,holiday_hour,weekday_hour,workingday_hour,weathersit_hour,temp_hour,atemp_hour,hum_hour,windspeed_hour,casual_hour,registered_hour,cnt_hour,instant_day,season_day,yr_day,mnth_day,holiday_day,weekday_day,workingday_day,weathersit_day,temp_day,atemp_day,hum_day,windspeed_day,casual_day,registered_day,cnt_day,rental_category,temp_category
19,2011-01-01,Spring,0,1,18,0,6,0,Light Rain,0.42,0.4242,0.88,0.2537,9,26,35,1,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,Rendah,Sejuk
20,2011-01-01,Spring,0,1,19,0,6,0,Light Rain,0.42,0.4242,0.88,0.2537,6,31,37,1,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,Rendah,Sejuk
21,2011-01-01,Spring,0,1,20,0,6,0,Mist,0.4,0.4091,0.87,0.2537,11,25,36,1,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,Rendah,Sejuk
22,2011-01-01,Spring,0,1,21,0,6,0,Mist,0.4,0.4091,0.87,0.194,3,31,34,1,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,Rendah,Sejuk
23,2011-01-01,Spring,0,1,22,0,6,0,Mist,0.4,0.4091,0.94,0.2239,11,17,28,1,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,Rendah,Sejuk
24,2011-01-01,Spring,0,1,23,0,6,0,Mist,0.46,0.4545,0.88,0.2985,15,24,39,1,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,Rendah,Sejuk
25,2011-01-02,Spring,0,1,0,0,0,0,Mist,0.46,0.4545,0.88,0.2985,4,13,17,2,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,Rendah,Sejuk
26,2011-01-02,Spring,0,1,1,0,0,0,Mist,0.44,0.4394,0.94,0.2537,1,16,17,2,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,Rendah,Sejuk
27,2011-01-02,Spring,0,1,2,0,0,0,Mist,0.42,0.4242,1.0,0.2836,1,8,9,2,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,Rendah,Sejuk
28,2011-01-02,Spring,0,1,3,0,0,0,Mist,0.46,0.4545,0.94,0.194,2,4,6,2,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,Rendah,Sejuk
29,2011-01-02,Spring,0,1,4,0,0,0,Mist,0.46,0.4545,0.94,0.194,2,1,3,2,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,Rendah,Sejuk
30,2011-01-02,Spring,0,1,6,0,0,0,Light Rain,0.42,0.4242,0.77,0.2985,0,2,2,2,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,Rendah,Sejuk
31,2011-01-02,Spring,0,1,7,0,0,0,Mist,0.4,0.4091,0.76,0.194,0,1,1,2,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,Rendah,Sejuk
32,2011-01-02,Spring,0,1,8,0,0,0,Light Rain,0.4,0.4091,0.71,0.2239,0,8,8,2,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,Rendah,Sejuk
33,2011-01-02,Spring,0,1,9,0,0,0,Mist,0.38,0.3939,0.76,0.2239,1,19,20,2,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,Rendah,Sejuk
34,2011-01-02,Spring,0,1,10,0,0,0,Mist,0.36,0.3485,0.81,0.2239,7,46,53,2,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,Rendah,Sejuk
35,2011-01-02,Spring,0,1,11,0,0,0,Mist,0.36,0.3333,0.71,0.2537,16,54,70,2,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,Rendah,Sejuk
36,2011-01-02,Spring,0,1,12,0,0,0,Mist,0.36,0.3333,0.66,0.2985,20,73,93,2,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,Rendah,Sejuk
37,2011-01-02,Spring,0,1,13,0,0,0,Mist,0.36,0.3485,0.66,0.1343,11,64,75,2,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,Rendah,Sejuk
38,2011-01-02,Spring,0,1,14,0,0,0,Light Rain,0.36,0.3485,0.76,0.194,4,55,59,2,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,Rendah,Sejuk
39,2011-01-02,Spring,0,1,15,0,0,0,Light Rain,0.34,0.3333,0.81,0.1642,19,55,74,2,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,Rendah,Sejuk
40,2011-01-02,Spring,0,1,16,0,0,0,Light Rain,0.34,0.3333,0.71,0.1642,9,67,76,2,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,Rendah,Sejuk
41,2011-01-02,Spring,0,1,17,0,0,0,Clear,0.34,0.3333,0.57,0.194,7,58,65,2,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,Rendah,Sejuk
42,2011-01-02,Spring,0,1,18,0,0,0,Mist,0.36,0.3333,0.46,0.3284,10,43,53,2,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,Rendah,Sejuk
43,2011-01-02,Spring,0,1,19,0,0,0,Clear,0.32,0.2879,0.42,0.4478,1,29,30,2,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,Rendah,Sejuk
44,2011-01-02,Spring,0,1,20,0,0,0,Clear,0.3,0.2727,0.39,0.3582,5,17,22,2,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,Rendah,Sejuk
45,2011-01-02,Spring,0,1,21,0,0,0,Clear,0.26,0.2273,0.44,0.3284,11,20,31,2,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,Rendah,Sejuk
46,2011-01-02,Spring,0,1,22,0,0,0,Clear,0.24,0.2121,0.44,0.2985,0,9,9,2,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,Rendah,Sejuk
47,2011-01-02,Spring,0,1,23,0,0,0,Clear,0.22,0.2273,0.47,0.1642,0,8,8,2,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,Rendah,Sejuk
48,2011-01-03,Spring,0,1,0,0,1,1,Clear,0.22,0.197,0.44,0.3582,0,5,5,3,1,0,1,0,1,1,0,0.196364,0.189405,0.437273,0.248309,120,1229,1349,Rendah,Dingin
49,2011-01-03,Spring,0,1,1,0,1,1,Clear,0.2,0.1667,0.44,0.4179,0,2,2,3,1,0,1,0,1,1,0,0.196364,0.189405,0.437273,0.248309,120,1229,1349,Rendah,Dingin
50,2011-01-03,Spring,0,1,4,0,1,1,Clear,0.16,0.1364,0.47,0.3881,0,1,1,3,1,0,1,0,1,1,0,0.196364,0.189405,0.437273,0.248309,120,1229,1349,Rendah,Dingin
51,2011-01-03,Spring,0,1,5,0,1,1,Clear,0.16,0.1364,0.47,0.2836,0,3,3,3,1,0,1,0,1,1,0,0.196364,0.189405,0.437273,0.248309,120,1229,1349,Rendah,Dingin
52,2011-01-03,Spring,0,1,6,0,1,1,Clear,0.14,0.1061,0.5,0.3881,0,30,30,3,1,0,1,0,1,1,0,0.196364,0.189405,0.437273,0.248309,120,1229,1349,Rendah,Dingin
53,2011-01-03,Spring,0,1,7,0,1,1,Clear,0.14,0.1364,0.5,0.194,1,63,64,3,1,0,1,0,1,1,0,0.196364,0.189405,0.437273,0.248309,120,1229,1349,Rendah,Dingin
54,2011-01-03,Spring,0,1,8,0,1,1,Clear,0.14,0.1212,0.5,0.2836,1,153,154,3,1,0,1,0,1,1,0,0.196364,0.189405,0.437273,0.248309,120,1229,1349,Rendah,Dingin
55,2011-01-03,Spring,0,1,9,0,1,1,Clear,0.16,0.1364,0.43,0.3881,7,81,88,3,1,0,1,0,1,1,0,0.196364,0.189405,0.437273,0.248309,120,1229,1349,Rendah,Dingin
56,2011-01-03,Spring,0,1,10,0,1,1,Clear,0.18,0.1667,0.43,0.2537,11,33,44,3,1,0,1,0,1,1,0,0.196364,0.189405,0.437273,0.248309,120,1229,1349,Rendah,Dingin
57,2011-01-03,Spring,0,1,11,0,1,1,Clear,0.2,0.1818,0.4,0.3284,10,41,51,3,1,0,1,0,1,1,0,0.196364,0.189405,0.437273,0.248309,120,1229,1349,Rendah,Dingin
58,2011-01-03,Spring,0,1,12,0,1,1,Clear,0.22,0.2121,0.35,0.2985,13,48,61,3,1,0,1,0,1,1,0,0.196364,0.189405,0.437273,0.248309,120,1229,1349,Rendah,Dingin
59,2011-01-03,Spring,0,1,13,0,1,1,Clear,0.24,0.2121,0.35,0.2836,8,53,61,3,1,0,1,0,1,1,0,0.196364,0.189405,0.437273,0.248309,120,1229,1349,Rendah,Dingin
60,2011-01-03,Spring,0,1,14,0,1,1,Clear,0.26,0.2424,0.3,0.2836,11,66,77,3,1,0,1,0,1,1,0,0.196364,0.189405,0.437273,0.248309,120,1229,1349,Rendah,Dingin
61,2011-01-03,Spring,0,1,15,0,1,1,Clear,0.26,0.2424,0.3,0.2537,14,58,72,3,1,0,1,0,1,1,0,0.196364,0.189405,0.437273,0.248309,120,1229,1349,Rendah,Dingin
62,2011-01-03,Spring,0,1,16,0,1,1,Clear,0.26,0.2424,0.3,0.2537,9,67,76,3,1,0,1,0,1,1,0,0.196364,0.189405,0.437273,0.248309,120,1229,1349,Rendah,Dingin
63,2011-01-03,Spring,0,1,17,0,1,1,Clear,0.24,0.2273,0.3,0.2239,11,146,157,3,1,0,1,0,1,1,0,0.196364,0.189405,0.437273,0.248309,120,1229,1349,Rendah,Dingin
64,2011-01-03,Spring,0,1,18,0,1,1,Clear,0.24,0.2576,0.32,0.1045,9,148,157,3,1,0,1,0,1,1,0,0.196364,0.189405,0.437273,0.248309,120,1229,1349,Rendah,Dingin
65,2011-01-03,Spring,0,1,19,0,1,1,Clear,0.2,0.2576,0.47,0.194,8,102,110,3,1,0,1,0,1,1,0,0.196364,0.189405,0.437273,0.248309,120,1229,1349,Rendah,Dingin
66,2011-01-03,Spring,0,1,20,0,1,1,Clear,0.2,0.2273,0.47,0.1045,3,49,52,3,1,0,1,0,1,1,0,0.196364,0.189405,0.437273,0.248309,120,1229,1349,Rendah,Dingin
67,2011-01-03,Spring,0,1,21,0,1,1,Clear,0.18,0.197,0.64,0.1343,3,49,52,3,1,0,1,0,1,1,0,0.196364,0.189405,0.437273,0.248309,120,1229,1349,Rendah,Dingin
68,2011-01-03,Spring,0,1,22,0,1,1,Clear,0.14,0.1515,0.69,0.1343,0,20,20,3,1,0,1,0,1,1,0,0.196364,0.189405,0.437273,0.248309,120,1229,1349,Rendah,Dingin
69,2011-01-03,Spring,0,1,23,0,1,1,Clear,0.18,0.2121,0.55,0.1045,1,11,12,3,1,0,1,0,1,1,0,0.196364,0.189405,0.437273,0.248309,120,1229,1349,Rendah,Dingin
70,2011-01-04,Spring,0,1,0,0,2,1,Clear,0.16,0.1818,0.55,0.1045,0,5,5,4,1,0,1,0,2,1,0,0.2,0.212122,0.590435,0.160296,108,1454,1562,Rendah,Dingin
71,2011-01-04,Spring,0,1,1,0,2,1,Clear,0.16,0.1818,0.59,0.1045,0,2,2,4,1,0,1,0,2,1,0,0.2,0.212122,0.590435,0.160296,108,1454,1562,Rendah,Dingin
72,2011-01-04,Spring,0,1,2,0,2,1,Clear,0.14,0.1515,0.63,0.1343,0,1,1,4,1,0,1,0,2,1,0,0.2,0.212122,0.590435,0.160296,108,1454,1562,Rendah,Dingin
73,2011-01-04,Spring,0,1,4,0,2,1,Clear,0.14,0.1818,0.63,0.0896,0,2,2,4,1,0,1,0,2,1,0,0.2,0.212122,0.590435,0.160296,108,1454,1562,Rendah,Dingin
74,2011-01-04,Spring,0,1,5,0,2,1,Clear,0.12,0.1515,0.68,0.1045,0,4,4,4,1,0,1,0,2,1,0,0.2,0.212122,0.590435,0.160296,108,1454,1562,Rendah,Dingin
75,2011-01-04,Spring,0,1,6,0,2,1,Clear,0.12,0.1515,0.74,0.1045,0,36,36,4,1,0,1,0,2,1,0,0.2,0.212122,0.590435,0.160296,108,1454,1562,Rendah,Dingin
76,2011-01-04,Spring,0,1,7,0,2,1,Clear,0.12,0.1515,0.74,0.1343,2,92,94,4,1,0,1,0,2,1,0,0.2,0.212122,0.590435,0.160296,108,1454,1562,Rendah,Dingin
77,2011-01-04,Spring,0,1,8,0,2,1,Clear,0.14,0.1515,0.69,0.1642,2,177,179,4,1,0,1,0,2,1,0,0.2,0.212122,0.590435,0.160296,108,1454,1562,Rendah,Dingin
78,2011-01-04,Spring,0,1,9,0,2,1,Clear,0.16,0.1515,0.64,0.2239,2,98,100,4,1,0,1,0,2,1,0,0.2,0.212122,0.590435,0.160296,108,1454,1562,Rendah,Dingin
79,2011-01-04,Spring,0,1,10,0,2,1,Mist,0.16,0.1364,0.69,0.3284,5,37,42,4,1,0,1,0,2,1,0,0.2,0.212122,0.590435,0.160296,108,1454,1562,Rendah,Dingin
80,2011-01-04,Spring,0,1,11,0,2,1,Clear,0.22,0.2121,0.51,0.2985,7,50,57,4,1,0,1,0,2,1,0,0.2,0.212122,0.590435,0.160296,108,1454,1562,Rendah,Dingin
81,2011-01-04,Spring,0,1,12,0,2,1,Clear,0.22,0.2273,0.51,0.1642,12,66,78,4,1,0,1,0,2,1,0,0.2,0.212122,0.590435,0.160296,108,1454,1562,Rendah,Dingin
82,2011-01-04,Spring,0,1,13,0,2,1,Clear,0.24,0.2273,0.56,0.194,18,79,97,4,1,0,1,0,2,1,0,0.2,0.212122,0.590435,0.160296,108,1454,1562,Rendah,Dingin
83,2011-01-04,Spring,0,1,14,0,2,1,Clear,0.26,0.2576,0.52,0.2239,9,54,63,4,1,0,1,0,2,1,0,0.2,0.212122,0.590435,0.160296,108,1454,1562,Rendah,Dingin
84,2011-01-04,Spring,0,1,15,0,2,1,Clear,0.28,0.2727,0.52,0.2537,17,48,65,4,1,0,1,0,2,1,0,0.2,0.212122,0.590435,0.160296,108,1454,1562,Rendah,Dingin
85,2011-01-04,Spring,0,1,16,0,2,1,Clear,0.3,0.2879,0.49,0.2537,15,68,83,4,1,0,1,0,2,1,0,0.2,0.212122,0.590435,0.160296,108,1454,1562,Rendah,Dingin
86,2011-01-04,Spring,0,1,17,0,2,1,Clear,0.28,0.2727,0.48,0.2239,10,202,212,4,1,0,1,0,2,1,0,0.2,0.212122,0.590435,0.160296,108,1454,1562,Rendah,Dingin
87,2011-01-04,Spring,0,1,18,0,2,1,Clear,0.26,0.2576,0.48,0.194,3,179,182,4,1,0,1,0,2,1,0,0.2,0.212122,0.590435,0.160296,108,1454,1562,Rendah,Dingin
88,2011-01-04,Spring,0,1,19,0,2,1,Clear,0.24,0.2576,0.48,0.1045,2,110,112,4,1,0,1,0,2,1,0,0.2,0.212122,0.590435,0.160296,108,1454,1562,Rendah,Dingin
89,2011-01-04,Spring,0,1,20,0,2,1,Clear,0.24,0.2576,0.48,0.1045,1,53,54,4,1,0,1,0,2,1,0,0.2,0.212122,0.590435,0.160296,108,1454,1562,Rendah,Dingin
90,2011-01-04,Spring,0,1,21,0,2,1,Clear,0.22,0.2727,0.64,0.194,0,48,48,4,1,0,1,0,2,1,0,0.2,0.212122,0.590435,0.160296,108,1454,1562,Rendah,Dingin
91,2011-01-04,Spring,0,1,22,0,2,1,Clear,0.22,0.2576,0.64,0.0896,1,34,35,4,1,0,1,0,2,1,0,0.2,0.212122,0.590435,0.160296,108,1454,1562,Rendah,Dingin
92,2011-01-04,Spring,0,1,23,0,2,1,Clear,0.2,0.2273,0.69,0.0896,2,9,11,4,1,0,1,0,2,1,0,0.2,0.212122,0.590435,0.160296,108,1454,1562,Rendah,Dingin
93,2011-01-05,Spring,0,1,0,0,3,1,Clear,0.2,0.2576,0.64,0.194,0,6,6,5,1,0,1,0,3,1,0,0.226957,0.22927,0.436957,0.1869,82,1518,1600,Rendah,Dingin
94,2011-01-05,Spring,0,1,1,0,3,1,Clear,0.16,0.197,0.74,0.0896,0,6,6,5,1,0,1,0,3,1,0,0.226957,0.22927,0.436957,0.1869,82,1518,1600,Rendah,Dingin
95,2011-01-05,Spring,0,1,2,0,3,1,Clear,0.16,0.197,0.74,0.0896,0,2,2,5,1,0,1,0,3,1,0,0.226957,0.22927,0.436957,0.1869,82,1518,1600,Rendah,Dingin
96,2011-01-05,Spring,0,1,4,0,3,1,Clear,0.24,0.2273,0.48,0.2239,0,2,2,5,1,0,1,0,3,1,0,0.226957,0.22927,0.436957,0.1869,82,1518,1600,Rendah,Dingin
97,2011-01-05,Spring,0,1,5,0,3,1,Clear,0.22,0.2273,0.47,0.1642,0,3,3,5,1,0,1,0,3,1,0,0.226957,0.22927,0.436957,0.1869,82,1518,1600,Rendah,Dingin
98,2011-01-05,Spring,0,1,6,0,3,1,Clear,0.2,0.197,0.47,0.2239,0,33,33,5,1,0,1,0,3,1,0,0.226957,0.22927,0.436957,0.1869,82,1518,1600,Rendah,Dingin
99,2011-01-05,Spring,0,1,7,0,3,1,Clear,0.18,0.1818,0.43,0.194,1,87,88,5,1,0,1,0,3,1,0,0.226957,0.22927,0.436957,0.1869,82,1518,1600,Rendah,Dingin
100,2011-01-05,Spring,0,1,8,0,3,1,Clear,0.2,0.1818,0.4,0.2985,3,192,195,5,1,0,1,0,3,1,0,0.226957,0.22927,0.436957,0.1869,82,1518,1600,Rendah,Dingin
101,2011-01-05,Spring,0,1,9,0,3,1,Clear,0.22,0.197,0.37,0.3284,6,109,115,5,1,0,1,0,3,1,0,0.226957,0.22927,0.436957,0.1869,82,1518,1600,Rendah,Dingin
102,2011-01-05,Spring,0,1,10,0,3,1,Clear,0.22,0.197,0.37,0.3284,4,53,57,5,1,0,1,0,3,1,0,0.226957,0.22927,0.436957,0.1869,82,1518,1600,Rendah,Dingin
103,2011-01-05,Spring,0,1,11,0,3,1,Clear,0.26,0.2273,0.33,0.3284,12,34,46,5,1,0,1,0,3,1,0,0.226957,0.22927,0.436957,0.1869,82,1518,1600,Rendah,Dingin
104,2011-01-05,Spring,0,1,12,0,3,1,Clear,0.26,0.2273,0.33,0.3284,5,74,79,5,1,0,1,0,3,1,0,0.226957,0.22927,0.436957,0.1869,82,1518,1600,Rendah,Dingin
105,2011-01-05,Spring,0,1,13,0,3,1,Clear,0.28,0.2576,0.3,0.2985,6,65,71,5,1,0,1,0,3,1,0,0.226957,0.22927,0.436957,0.1869,82,1518,1600,Rendah,Dingin
106,2011-01-05,Spring,0,1,14,0,3,1,Clear,0.3,0.2879,0.28,0.194,10,52,62,5,1,0,1,0,3,1,0,0.226957,0.22927,0.436957,0.1869,82,1518,1600,Rendah,Dingin
107,2011-01-05,Spring,0,1,15,0,3,1,Clear,0.3,0.2879,0.28,0.194,7,55,62,5,1,0,1,0,3,1,0,0.226957,0.22927,0.436957,0.1869,82,1518,1600,Rendah,Dingin
108,2011-01-05,Spring,0,1,16,0,3,1,Clear,0.3,0.3182,0.28,0.0896,4,85,89,5,1,0,1,0,3,1,0,0.226957,0.22927,0.436957,0.1869,82,1518,1600,Rendah,Dingin
109,2011-01-05,Spring,0,1,17,0,3,1,Clear,0.24,0.2273,0.38,0.194,4,186,190,5,1,0,1,0,3,1,0,0.226957,0.22927,0.436957,0.1869,82,1518,1600,Rendah,Dingin
110,2011-01-05,Spring,0,1,18,0,3,1,Clear,0.24,0.2424,0.38,0.1343,3,166,169,5,1,0,1,0,3,1,0,0.226957,0.22927,0.436957,0.1869,82,1518,1600,Rendah,Dingin
111,2011-01-05,Spring,0,1,19,0,3,1,Clear,0.24,0.2576,0.38,0.1045,5,127,132,5,1,0,1,0,3,1,0,0.226957,0.22927,0.436957,0.1869,82,1518,1600,Rendah,Dingin
112,2011-01-05,Spring,0,1,20,0,3,1,Clear,0.22,0.2273,0.47,0.1642,7,82,89,5,1,0,1,0,3,1,0,0.226957,0.22927,0.436957,0.1869,82,1518,1600,Rendah,Dingin
113,2011-01-05,Spring,0,1,21,0,3,1,Clear,0.2,0.197,0.51,0.194,3,40,43,5,1,0,1,0,3,1,0,0.226957,0.22927,0.436957,0.1869,82,1518,1600,Rendah,Dingin
114,2011-01-05,Spring,0,1,22,0,3,1,Clear,0.18,0.197,0.55,0.1343,1,41,42,5,1,0,1,0,3,1,0,0.226957,0.22927,0.436957,0.1869,82,1518,1600,Rendah,Dingin
115,2011-01-05,Spring,0,1,23,0,3,1,Clear,0.2,0.2576,0.47,0.194,1,18,19,5,1,0,1,0,3,1,0,0.226957,0.22927,0.436957,0.1869,82,1518,1600,Rendah,Dingin
116,2011-01-06,Spring,0,1,0,0,4,1,Clear,0.18,0.2424,0.55,0.194,0,11,11,6,1,0,1,0,4,1,0,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,Rendah,Dingin
117,2011-01-06,Spring,0,1,1,0,4,1,Clear,0.16,0.2273,0.64,0.194,0,4,4,6,1,0,1,0,4,1,0,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,Rendah,Dingin
118,2011-01-06,Spring,0,1,2,0,4,1,Clear,0.16,0.2273,0.64,0.194,0,2,2,6,1,0,1,0,4,1,0,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,Rendah,Dingin
119,2011-01-06,Spring,0,1,4,0,4,1,Mist,0.16,0.197,0.64,0.0896,0,1,1,6,1,0,1,0,4,1,0,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,Rendah,Dingin
120,2011-01-06,Spring,0,1,5,0,4,1,Mist,0.14,0.1818,0.69,0.0896,0,4,4,6,1,0,1,0,4,1,0,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,Rendah,Dingin
121,2011-01-06,Spring,0,1,6,0,4,1,Mist,0.14,0.1667,0.63,0.1045,0,36,36,6,1,0,1,0,4,1,0,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,Rendah,Dingin
122,2011-01-06,Spring,0,1,7,0,4,1,Mist,0.16,0.2273,0.59,0.194,0,95,95,6,1,0,1,0,4,1,0,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,Rendah,Dingin
123,2011-01-06,Spring,0,1,8,0,4,1,Clear,0.16,0.2273,0.59,0.194,3,216,219,6,1,0,1,0,4,1,0,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,Rendah,Dingin
124,2011-01-06,Spring,0,1,9,0,4,1,Mist,0.18,0.2424,0.51,0.194,6,116,122,6,1,0,1,0,4,1,0,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,Rendah,Dingin
125,2011-01-06,Spring,0,1,10,0,4,1,Clear,0.2,0.2576,0.47,0.194,3,42,45,6,1,0,1,0,4,1,0,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,Rendah,Dingin
126,2011-01-06,Spring,0,1,11,0,4,1,Clear,0.22,0.2576,0.44,0.0896,2,57,59,6,1,0,1,0,4,1,0,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,Rendah,Dingin
127,2011-01-06,Spring,0,1,12,0,4,1,Clear,0.26,0.2879,0.35,0.194,6,78,84,6,1,0,1,0,4,1,0,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,Rendah,Dingin
